name,affiliation,country
Abubakar Muazu,UNIVERSITI TEKNOLOGI PETRONAS,MY
Abubakar Sadeeq,LEGENDARYTECHNOLOGICAL GROUP LTD.,NG
Abubaker Nsobya,UGANDA TECHNOLOGY AND MANAGEMENT UNIVERSITY,UG
Abukari Mohammed Yakubu,MTN GHANA,GH
Abuzafor Rasal,GENERAL MOTORS COMPANY,US
Acee Lindem,CISCO SYSTEMS INC,US
Achilleas Kemos,EUROPEAN COMMISSION,BE
Achim Klabunde,EUROPEAN DATA PROTECTION SUPERVISOR,BE
Adalgildo Sousa Silva Silva,GRUPO GARRAS,BR
Adam Ahmat Doungous,IETF - INTERNET ENGINEERING TASK FORCE,TD
Adam Barth,UNIVERSITY OF CALIFORNIA - BERKELEY,US
Adam Beckman,TENEO,US
Adam Chappell,GTT,GB
Adam Dawes,GOOGLE,US
Adam Edery,MCGILL,CA
Adam Esman Esman Family,BURYING AND SELLING USED ITEMS,US
Adam Freeman,UNIVERSITY OF OXFORD,GB
Adam Montville,CIS,US
Adam Newman,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,US
Adam Roach,MOZILLA FOUNDATION,US
Adam Simpson,NOKIA,CA
Adam Uzelac,GLOBAL CROSSING,US
Adam Wiethuechter,"AX ENTERPRIZE, LLC",US
Adam Wood,CESG,GB
Adama Doumbia,ORTM,ML
Adama Traore,SINTIC-SARL,ML
Adama Vandy,"ICT DEPARTMENT, STATE HOUSE, REPUBLIC OF SIERRA LEONE",SL
Adarsh Basavapura Umesh,SMARTRON INDIA PRIVATE LIMITED,IN
Adarsh Bu,SMARTRON INDIA PRIVATE LIMITED,IN
Adarsh M,HUAWEI TECHNOLOGIES,IN
Adarsh U,ERNET INDIA,IN
Adavize Aliyu,UNIVERSITY OF LAGOS,NG
Adebayo Adetumbi,FEDERAL UNIVERSITY OF TECHNOLOGY AKURE,NG
Adebayo Shittu,STV TECHNOLOGY LIMITED,NG
Adebimpe Olorundare,NETQUIST NIGERIA LIMITED,NG
Adedayo Musari,THE GATEWAY POLYTECHNIC SAAPADE,NG
Adejoke Badmus,LIBRAL GLOBAL NET LTD,NG
Ademir Nascimento,UNIVERSITY OF PERNAMBUCO,BR
Ademola Ogunoye,FDNET TECHNOLOGY,NG
Aderonke Adeoye,PROACTIVE ENERGY LTD,NG
Aderonke Thompson,FEDERAL UNIVERSITY OF TECHNOLGY,NG
Adewo Orimisan,UNIQUE CAFE,NG
Adeyemi Sunday Longe,STV TECHNOLOGY LIMITED,NG
Adeyemi Taiwo,ADYTAS GLOBAL INVESTMENT LIMITED,NG
Adib Habbal,INTERNETWORKS RESEARCH LAB,MY
Adiel Akplogan,ICANN,CA
Adika Bintang Sulaeman,NOKIA,FI
Adilson Florentino,EAMSOFT,BR
Adisorn Lertsinsrubtavee,"INTERLAB, AIT",TH
Aditi Sachdeva,NO,IN
Aditya Dogra,CISCO SYSTEMS INC,IN
Aditya Dogta,CISCO SYSTEMS INC,IN
Adnan Mohamed Diallo,AGETIC,ML
Adon Joachim Yapo,WINCORP.COM,CI
Adrian Farrel,OLD DOG CONSULTING,GB
Adrian Grange,GOOGLE,US
Adrian Hope-Bailie,RIPPLE,ZA
Adrian Lindbom,ERICSSON AB,SE
Adrian Perrig,ETH ZURICH,CH
Adrian Rowley,GIGAMON,GB
Adrian Shaw,HEWLETT-PACKARD COMPANY,GB
Adrian Sterca,BABES-BOLYAI UNIVERSITY,RO
Adrian Tipple,BRITISH TELECOMMUNICATIONS PLC,GB
Adrian-Cristian Nicolaescu,UNIVERSITY COLLEGE LONDON,GB
Adrien Cedrick Mbeyet Moukala,AFRINIC,MU
Adrien Wion,TELECOM PARISTECH,FR
Adsadawut Chanakitkarnchok,CHULALONGKORN UNIVERSITY,TH
Aduah Sylvester Adagyele,NURSING TRAINING COLLEGE,GH
Afaf El Maayati,AGENCE NATIONALE DE REGLEMENTATION DES TELECOMMUNICATIONS,MA
Afework Kidane,GVN-ETHIOPIA,ET
Afifa Abbas,BANGLALINK DIGITAL COMMUNICATIONS LIMITED,BD
Afolabi Ojo,AKINADE NIGERIA LIMITED,NG
Agatha Isei,NIGERIAN COMMUNICATIONS COMMISSION,NG
Aggrey Mbogo,UGANDA CHRISTIAN UNIVERSITY,UG
Agustin Sacramento,SECRETARIA LEGAL Y TECNICA,AR
Ahamada Keldi,COMOROS TELECOM,KM
Ahmad Isah,CAVENDISH UNIVERSITY UGANDA,BA
Ahmad Muhanna,HUAWEI TECHNOLOGIES,US
Ahmad Saleh Ibrahim Alsadeh,BIRZEIT UNIVERSITY,PS
Ahmed Allam,ALLAM,EG
Ahmed Altakrori,ASU,JO
Ahmed Bashandy,CISCO SYSTEMS INC,US
Ahmed Dema,REGIONAL TELECOM,ER
Ahmed Elmoursy,ETISALAT-UAE,AE
Ahmed Kasttet,BIRDZ,FR
Ahmed Ousmane Tiimoko Cissi,IAM,ML
Ahmed Siad,ASAL SOLUTION ICT,SO
Ahmed Toumia,ARIS.S.R.L,AL
Ahsanul Karim,ARK TECHNOLOGIES,BD
Aidan Williams,AUDINATE,AU
Aigerim Abakirova,ASSOCIATION OF COMMUNICATIONS OPERATORS,KG
Aijun Wang,CHINA TELECOM CORPORATION LIMITED,CN
Aiko Maki,NTT,JP
Aiko Pras,UNIVERSITY OF TWENTE,NL
Aini Li,HUAWEI TECHNOLOGIES,CN
Aissa Boukanoun,REPORTER,FR
Aissatou Diallo,GOUVERNORATE CONAKRY,GN
Aja Ceesay,QCELL TELECOMMUNICATION SYSTEMS GAMBIA,GM
Ajaaz Khan Mohammed,TIMES COMPUTECH SOLUTIONS,IN
Ajanthan Asogamoorthy,FACEBOOK,US
Ajay Pratap Singh Singh,HUAWEI TECHNOLOGIES,IN
Ajay Raut,FLIPKART,IN
Ajeet Singh,AMITY UNIVERSITY,IN
Ajeya Gupta,FORD MOTOR COMPANY,US
Ajibola Nueudeen,NIGERIA,EG
Ajmal Khan,EVERGRACE TECHNOLOGIES CC,ZA
Akanksha Gupta,CDAC,IN
Akanksha Jain,DELHI INSTITUTE OF ADVANCED STUDIES,IN
Akari Harada,MAEBASHI KYOAI GAKUEN COLLEGE,JP
Akash Tomar,AMITY UNIVERSITY,IN
Akbar Rahman,INTERDIGITAL COMMUNICATIONS,CA
Akeem Obalereko,AL-AKEEM INTERNATIONAL,NG
Akhilesh Kumar Mandal,NOTHING,IN
Aki Nyrhinen,UNIVERSITY OF HELSINKI,FI
Akihiko Tsuno,NTT,JP
Akihiro Nishida,RICOH,JP
Akihiro Shiozu,NTT,JP
Akihiro Tsuru,KDDI CORPORATION,JP
Akiko Hattori,CISCO SYSTEMS INC,JP
Akiko Niwa,MITSUBISHI CORPORATION,JP
Akilandeswari Moorthy,NEUSTAR INC,US
Akin-Awokoya Emmanuel,KLATEM,NG
Akinade Akinwunmi,NATIONAL OPEN UNIVERSITY OF NIGERIA,NG
Akinwale Samuel,COVENANT UNIVERSITY,NG
Akio Ikami,KDDI CORPORATION,JP
Akio Seki,HIROSHIMA UNIVERSITY,JP
Akira Ito,FUJITSU LIMITED,US
Akira Kamogawa,PANASONIC CORPORATION,JP
Akira Kato,KEIO UNIVERSITY,JP
Akira Kobayashi,NEC CORPORATION,JP
Akira Nagata,NICT - NATIONAL INSTITUTE FOR INFORMATION AND COMMUNICATIONS TECHNOLOGY,JP
Akira Nakagawa,JPIX,JP
Akira Sakurai,NEC CORPORATION,JP
Akira Taji,NTT,JP
Akira Takayama,CISCO SYSTEMS INC,JP
Akira Yamada,NISC,JP
Akiyoshi Atsumi,YAMAHA CORPORATION,JP
Akram Atallah,ICANN,US
Akram Sawaf,EANTC,DE
Akshay Pm,IISC,IN
Al Cutter,GOOGLE,GB
Al-Ansari Almashakbeh,TRC,JO
Alaelddin Fuad Yousif Mohammed,KAIST - KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,KR
Alagie Ceesay,NETLABS,GM
Alain Durand,ICANN,US
Alain Fiocco,CISCO SYSTEMS INC,FR
Alain Garneau,CRTC,CA
Alain Patrick Aina,WACREN,TG
Alain Ribault,KEREVAL,FR
Alain Van Gaever,OFCAM,GB
Alan Boey,MORATEL INTERNATIONAL PTE LTD,SG
Alan Carlton,INTERDIGITAL COMMUNICATIONS,US
Alan Clark,TELCHEMY,US
Alan Davey,METASWITCH NETWORKS LTD.,GB
Alan Dekok,NETWORK RADIUS,FR
Alan Duric,WIRE SWISS GMBH,CH
Alan Ferrari,SUPSI,CH
Alan Ford,PEXIP,GB
Alan Frindell,FACEBOOK,US
Alan Gous,CISCO SYSTEMS INC,US
Alan Hawrylyshen,DITECH COMMUNICATIONS INC.,US
Alan Iida,NTT,JP
Alan Johnston,ILLINOIS INSTITUTE OF TECHNOLOGY,US
Alan Kavanagh,ERICSSON AB,CA
Alan Luchuk,SNMP RESEARCH INC.,US
Alan Whinery,UNIVERSITY OF HAWAII,US
Alankar Sharma,COMCAST,US
Alassane Ly,GETNER SARL,SN
Alassane Ndoye,ADIE,SN
Alastair Berg,RMIT UNIVERSITY,AU
Alastair Johnson,NUAGE NETWORKS,US
Alba Shahin,ISTI-CNR,IT
Albert Boima,MINISTRY OF INFORMATION AND COMMUNICATIONS,SL
Albert Cabellos,UNIVERSITAT POLITECNICA DE CATALUNYA,ES
Albert Espinal,ESPOL,EC
Albert Fabrice Pekba,ETS PF,CM
Albert Fu,BLOOMBERG,US
Albert Kamga,MINPOSTEL,CM
Alberto Castro,UNIVERSIDAD DE LA REPUBLICA ORIENTAL DEL URUGUAY,UY
Alberto Cuda,TELECOM ITALIA S.P.A,IT
Alberto Dainotti,UNIVERSITY OF CALIFORNIA - SAN DIEGO,US
Alberto Gonzalez,UNIVERSITAT POLITECNICA DE CATALUNYA,ES
Alberto Gonzalez Prieto,CISCO SYSTEMS INC,US
Alberto Leiva,NETWORK INFORMATION CENTER MEXICO,MX
Alberto Leon-Garcia,UNIVERSITY OF TORONTO,CA
Alberto Milani,EOLO SPA,IT
Alberto Rodriguez-Natal,CISCO SYSTEMS INC,US
Alberto Safra,ALBERTO SAFRA CODES,US
Alberto Tempia Bonda,TELECOM ITALIA S.P.A,IT
Alec Laws,IDENTOS,CA
Alejandro Acosta,LACNIC,VE
Alejandro Aguado,NOKIA,ES
Alejandro Ayala,NOKIA,CA
Alejandro Bolivar,"VERISIGN INTERNATIONAL HOLDINGS, INC.",US
Alejandro Popovsky,UNIVERSIDAD DE PALERMO,AR
Alejandro Rodriguez,APPLE INC.,US
Aleksandar Stanoev,TOSHIBA,GB
Aleksandr Klimenko,YANDEX,RU
Aleksandr Semenov,FEDERAL SECURITY SERVICE OF THE RUSSIAN FEDERATION,RU
Aleksi Peltonen,AALTO UNIVERSITY,FI
Aleksi Suhonen,TAMPERE UNIVERSITY,FI
Alena Lifar,CISCO SYSTEMS INC,RU
Ales Dryak,DEUTSCHE TELEKOM AG,CZ
Ales Vizdal,DEUTSCHE TELEKOM AG,CZ
Alessandra Scicchitano,SWITCH,CH
Alessandro Amirante,"MEETECHO S.R.L,",IT
Alessandro Capello,TELECOM ITALIA S.P.A,IT
Alessandro Ghedini,CLOUDFLARE,GB
Alessandro Imbrogno,UNIVERSITY OF CALABRIA,IT
Alessandro Improta,IIT-CNR,IT
Alessandro Spinella,COMMUNICATION VALLEY SPA,IT
Alessandro Toppi,MEETECHO S.R.L.,IT
Alex Amason,IOT DESIGN LIKE,HR
Alex Antener,PEP PROJECT,CH
Alex Audu,GARLAND SOFT WORX,US
Alex Band,NLNET LABS,NL
Alex Bogdanov,GOOGLE,US
Alex Brotman,COMCAST,US
Alex Dalitz,NOMINET,GB
Alex Deacon,COLE VALLEY CONSULTING,US
Alex Galis,UNIVERSITY COLLEGE LONDON,GB
Alex Loffler,TELUS COMMUNICATIONS INC,CA
Alex Lotly,CAPS,FR
Alex Mcdonald,NETWORK APPLIANCE,GB
Alex Mcmahon,TRINITY COLLEGE,IE
Alex Moura,RNP,BR
Alex Nortey,NORTEY CAR HOLDINGS,SA
Alex Ojeda,NOG CHILE,CL
Alex Passos,GODADDY,US
Alex Ramachandran Nirmala,NETWORK APPLIANCE,IN
Alex Russell,GOOGLE,US
Alex Salamon,XAVIENT INFORMATION SYSTEMS,US
Alex Sergeyev,"DYN, INC.",US
Alex Villarroel Torres,UNIVERSIDAD DE CHILE,CI
Alex Zinin,ALCATEL-LUCENT S.A,SG
Alexa Morris,AMS,US
Alexadra Ablex,MU,GE
Alexander Afanasyev,FIU,US
Alexander Agranovsky,VOXEO,US
Alexander Azimov,YANDEX,RU
Alexander Bulatkin,CISCO SYSTEMS INC,US
Alexander Chukwujama,STV TECHNOLOGY LIMITED,NG
Alexander Clemm,HUAWEI TECHNOLOGIES,US
Alexander Giladi,HUAWEI TECHNOLOGIES,US
Alexander Gutarin,NETFLIX INC,US
Alexander Harrowell,STL PARTNERS,GB
Alexander Ilin,MSK-IX,RU
Alexander Isavnin,INTERNET PROTECTION SOCIETY,RU
Alexander Kasyanov,COMCAST,US
Alexander Knauf,HAW HAMBURG,DE
Alexander Kozlov,QRATOR LABS,RU
Alexander Lyamin,QRATOR LABS,CZ
Alexander Mayrhofer,NIC.AT,AT
Alexander Orel,CISCO SYSTEMS INC,CA
Alexander Pelov,ACKLIO,FR
Alexander Roscoe,COMCAST,US
Alexander Ruditsky,RADVISION,US
Alexander Salter,SAMKNOWS,GB
Alexander Shatsky,BLACKBERRY LIMITED,CA
Alexander Truskovsky,ISARA CORPORATION,CA
Alexander Vainshtein,ECI TELECOM,IL
Alexander Zimmermann,NETWORK APPLIANCE,DE
Alexandra Kulikova,ICANN,RU
Alexandre Chataignon,VIAGENIE,CA
Alexandre Ferrieux,ORANGE SA,FR
Alexandre Gouaillard,COSMO SOFTWARE,SG
Alexandru Petrescu,CEA -- CONSUMER ELECTRONICS ASSOCIATION,FR
Alexei Marciuc,IPI,MD
Alexej Tokar,CISCO SYSTEMS INC,SK
Alexey Filippov,HUAWEI TECHNOLOGIES,RU
Alexey Gorbunov,NOKIA,US
Alexey Melnikov,ISODE LIMITED,GB
Alexis Devin,UNIVERSIDAD DE CHILE,CL
Alexis Perfecto,CAPA CUATRO,MX
Alf Watt,"RUCKUS WIRELESS, INC",US
Alfa Abdel Razak,PALMARES,TG
Alfons Martin,UNIVERSITY OF TUEBINGEN,DE
Alfred Berg,KTH - ROYAL INSTITUTE OF TECHNOLOGY,SE
Alfred Hoenes,TR-SYS,DE
Alfred Lee,U.S. DEPARTMENT OF COMMERCE,US
Alfred Lindem,CISCO SYSTEMS INC,US
Alfred Lindem Iii,CISCO SYSTEMS INC,US
Alfred Nothaft,ALCATEL-LUCENT S.A,US
Alfred Sey,"UNIVERSITY OF PROFESSIONAL STUDIES, ACCRA",GH
Alfredo Grieco,POLITECNICO DI BARI,IT
Alfredo Ortega,UNIVERSIDAD DE BUENOS AIRES,AR
Alfredo Pironti,INRIA INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE,FR
Alhagie Jobe,FATUNETWORK,SN
Alhagie Secka,MINISTRY OF FINANCE AND ECONOMIC AFFAIRS,GM
Ali Ait Nasser,ENSAM CASA,MA
Ali Altwairash,CITRA,KW
Ali Begen,NETWORKED MEDIA,TR
Ali El Amine,IMT ATLANTIQUE,FR
Ali Hamza,SIBAU,PK
Ali Hussain,UNIVERSITY OF MALAYA,MY
Ali Kahlane,SATLINKER,DZ
Ali Karimi,TRANS TECHNOLOGY GROUP,US
Ali Kobenan,LARIT,CI
Ali Nasserazizi,ALI NASSERAZIZI,TH
Ali Rezaki,NOKIA,DE
Ali Sahid,KNUST,GH
Ali Sajassi,CISCO SYSTEMS INC,US
Alia Atlas,GOOGLE,US
Alice Coppock,THE COPPOCK FAMILY,US
Alice Hagens,UNIVERSITY OF SOUTHERN CALIFORNIA,US
Alice Russo,AMS,US
Aline Valerie Mbono Ngono,NATIONAL AGENCY FOR ICT,CM
Aliou Gadiaga,PRAXYS BUSINESS SOLUTIONS,SN
Alireza Dabagh,MICROSOFT,US
Alireza Mohammadi,ICANN,US
Alireza Saleh,IRNIC,CA
Alisha Gurung,BHUTAN TELECOM LIMITED,BT
Alison Harcourt,UNIVERSITY OF EXETER,GB
Alissa Cooper,CISCO SYSTEMS INC,US
Alistair King,UNIVERSITY OF CALIFORNIA - SAN DIEGO,US
Alistair Woodman,NETDEF,US
Alister Winfield,SKY,GB
Alix Guillard,RIPE NCC,NL
Alka Rani,DELHI INSTITUTE OF ADVANCED STUDIES,IN
Alla Goldner,ALLOT COMMUNICATIONS LTD,IL
Allan Chua,COMMONS HOST,SG
Allan Eising,NORDUNET,DK
Allan Macgillivray,CIRA - CANADIAN INTERNET REGISTRATION AUTHORITY,CA
Allan Ruiz,COMTELCA,HN
Allan Schiffman,COMMERCENET,US
Allen Andrews,EMULEX,US
Allen Huotari,CISCO SYSTEMS INC,US
Allen Roginsky,U.S. DEPARTMENT OF COMMERCE,US
Allen Shum,SSC PACIFIC,US
Allison Mankin,SALESFORCE,US
Allyn Romanow,CISCO SYSTEMS INC,US
Aloizio Pereira Da Silva,UNIVERSITY OF BRISTOL,GB
Alok Sinha,INNOVATIVE HOSTING,IN
Alon Bernstein,CISCO SYSTEMS INC,US
Alon Hazay,ALLOT COMMUNICATIONS LTD,IL
Aloys Augustin,CISCO SYSTEMS INC,FR
Alp Toker,NETBLOCKS GROUP,GB
Alper Yegin,ACTILITY,TR
Alpha Abdoulaye Thiam,AUTORITE DE REGULATION DES TELECOMMUNICATIONS ET DES POSTES SENEGAL,SN
Alpha Moodie,MILLENNIUM.ORG,US
Alpha Samai,MINISTRY OF INFORMATION AND COMMUNICATIONS,SL
Alvaro Arriola,EANTC,GT
Alvaro Retana,HUAWEI TECHNOLOGIES,US
Alvaro Vives,RIPE NCC,ES
Alvin Dabreo,GOVERNMENT OF GRENADA,GD
Alyson Comer,IBM,US
Amaiguere Diallo,GB TECHNOLOGIE,ML
Amalendu Si,MALLABHUM INSTITUTE OF TECHNOLOGY,IN
Aman Nanner,AKAMAI TECHNOLOGIES,CA
Aman Sharma,FACEBOOK,US
Amanda Anganes,"MITRE CORPORATION, THE",US
Amanda Baber,ICANN,US
Amanda Johnson,TORS,US
Amanou Sharon,BLUE CONSULTING,FR
Amanpreet Singh,UNIVERSITY OF BREMEN,DE
Amanvon Ferdinand Atta,LARIT,CI
Amartya Banerjee,MCKV INSTITUTE OF ENGINEERING,IN
Amartya Rawat,DELHI INSTITUTE OF ADVANCED STUDIES,IN
Amary Niang,SENAC SARL,SN
Amin Schaller,BERN UNIVERSITY OF APPLIED SCIENCES,CH
Amine Choukir,CISCO SYSTEMS INC,CH
Aminiata Kamara,GOVERNMENT OF SIERRA LEONE,SL
Amir Herzberg,FRAUNHOFER GESELLSCHAFT,IL
Amir Qayyum,CUST - CORENET,PK
Amir Shabbeh,PC-CILLIN,IR
Amir Tabdili,CYPRESS CONSULTING,VA
Amit Dass,TELIA AB,SE
Amit Kadane,CISCO SYSTEMS INC,IN
Amit Nainani,SSC PACIFIC,US
Amit Oren,BROADCOM CORP,US
Amit Verma,AMITY UNIVERSITY,IN
Amos Aloryi,A.ALORYI ENTREPRISE,GH
Amos Soffer,MARVELL TECHNOLOGY GROUP LTD,IL
Amreesh Phokeer,AFRINIC,MU
Amrit Wadhwa,TEKELEC,US
Amutuhaire Robert,YAHSHUAH GROUP OF COMPANIES LIMITED,UG
Amy Janett,"MITRE CORPORATION, THE",US
Amyas Phillips,AMBOTEC,GB
Ana Felix,UFAL-UNIVERSIDADE FEDERAL DE ALAGOAS,BR
Ana Hernandez,DELOITTE,VE
Ana Minaburo,ACKLIO,FR
Anais Finzi,ISAE-SUPAERO,FR
Anan Phonphoem,KASETSART UNIVERSITY,TH
Anand Babu Juluri,SILICON SOLUTIONS,IN
Anand Buddhdev,RIPE NCC,NL
Anand Mohandas,RECOVERYGOD.COM,IN
Anand Raj,ALCATEL-LUCENT S.A,CA
Anand Thiagarjan,NOKIA,CA
Anant Ghotkar,CSC,US
Anant Narayanan,MOZILLA FOUNDATION,US
Anant Shah,VERIZON,US
Ananth Nagarajan,JUNIPER NETWORKS,US
Anastasios Chatzithomaoglou,FORTHNET,GR
Anastasios Kourtis,NCSR DEMOKRITOS,GR
Anastasios Zafeiropoulos,GRNET,GR
Anca Zamfir,CISCO SYSTEMS INC,CH
Andemicale Tirhas Teman,ONG AFRIQUE-ESSOR,ER
Anders Brandt,SIGMA DESIGNS,DK
Anders Gavler,ACREO,SE
Anders Jagd,EKA SYSTEMS,US
Anders Lindgren,LULEA UNIVERSITY OF TECHNOLOGY,SE
Anders Persson,"SUN MICROSYSTEMS, INC.",US
Anderson Freitas,FACILITY BRASIL,BR
Anderson Silva,UPE,BR
Andi Harpianto,TRANSFORM DIGITAL CONSULTING,ID
Andra Lutu,TELEFONICA S.A.,ES
Andras Csaszar,ERICSSON AB,HU
Andras Kern,ERICSSON AB,HU
Andre Beliveau,NOVIFLOW,CA
Andre Czerwinski,CISCO SYSTEMS INC,DE
Andre Iwasa,ANATEL,BR
Andre Kostur,INCOGNITO SOFTWARE INC.,CA
Andre Rein,HUAWEI TECHNOLOGIES,DE
Andre Surcouf,CISCO SYSTEMS INC,FR
Andrea Allasia,TELECOM ITALIA S.P.A,IT
Andrea Araldo,UNIVERSITY OF CATANIA,IT
Andrea Doherty,RSA SECURITY LLC,US
Andrea Fumagalli,UT DALLAS,US
Andreana Warren,GOOGLE,US
Andreas Gladisch,DEUTSCHE TELEKOM AG,DE
Andreas Gustafsson,ARANEUS,FI
Andreas Huelsing,TU EINDHOVEN,NL
Andreas Petlund,UNIVERSITY OF OSLO,NO
Andreas Reisenbauer,FREQUENTIS,AT
Andreas Scholz,SIEMENS AG,DE
Andreas Schulze,DATEV EG,DE
Andreas Steffen,HSR UNIVERSITY OF APPLIED SCIENCES RAPPERSWIL,CH
Andreas Stockmayer,UNIVERSITY OF TUEBINGEN,DE
Andreas Urke,WESTERN NORWAY UNIVERSITY OF APPLIED SCIENCES,NO
Andreas Voest,ISARNET SOFTWARE SOLUTIONS GMBH,DE
Andree Toonk,OPENDNS,CA
Andrei Agapi,CISCO SYSTEMS INC,NL
Andrei Kolesnikov,INTERNET OF THINGS ASSOCIATION,RU
Andrei Leskin,QRATOR LABS,CZ
Andrej Binder,SLOVAK UNIVERSITY OF TECHNOLOGY,SK
Andrej Ota,GOOGLE,IE
Andres Arcia Moret,UNIVERSITY OF CAMBRIDGE,VE
Andres Nunez,CIRA - CANADIAN INTERNET REGISTRATION AUTHORITY,CA
Andressa Oliveira,UFAL-UNIVERSIDADE FEDERAL DE ALAGOAS,BR
Andrew Allen,BLACKBERRY LIMITED,US
Andrew Alston,LIQUID TELECOMMUNICATIONS,KE
Andrew Atyeo,INTERCEDE,GB
Andrew Biggs,CISCO SYSTEMS INC,US
Andrew Cathrow,"VERISIGN INTERNATIONAL HOLDINGS, INC.",US
Andrew Chi,UNIVERSITY OF NORTH CAROLINA,US
Andrew De La Haije,RIPE NCC,NL
Andrew Dolganow,NOKIA,SG
Andrew Dvorshak,DIAMOND KEY SECURITY,US
Andrew Feren,PLIXER,US
Andrew Forestieri,AGARI,US
Andrew Gray,CHARTER COMMUNICATIONS,US
Andrew Grover,MOZILLA FOUNDATION,US
Andrew Haberman,JOHN HOPKINS UNIVERSITY,US
Andrew Hadenfeldt,ALLO COMMUNICATIONS,US
Andrew Hutton,ATOS,GB
Andrew Johnson,USDA,US
Andrew Karch,CISCO SYSTEMS INC,US
Andrew Kennedy,THE FINANCIAL SERVICES ROUNDTABLE,US
Andrew Kessler,CISCO SYSTEMS INC,US
Andrew Knutsen,BLUE COAT SYSTEMS INC,US
Andrew Lange,ALCATEL-LUCENT S.A,US
Andrew Lee,KYOTO UNIVERSITY,JP
Andrew Maffei,WOODS HOLE OCEANOGRAPHIC INSTITUTION,US
Andrew Malis,HUAWEI TECHNOLOGIES,US
Andrew Martin,BLUECAT NETWORKS,CA
Andrew Mcconachie,ICANN,NL
Andrew Mcgregor,FASTLY,AU
Andrew Mclachlan,CISCO SYSTEMS INC,GB
